Iceland Moss,"treating a sore throat and dry cough, and may provide an instant relief[17]. Another interesting use is treating the loss of appetite."
Ashwagandha Tea,"an adaptogenic herb. The most common use is for treating stress and anxiety and sleeping problems. Studies have showed it has may help protect the brain and heart, improve memory and even improve muscle strength."
Anise Seed Tea,"Anise seed has traditionally been used for problems related to breathing and digestion. Because of the sweet flavor it’s often used instead of licorice for sweetening other food products and sweets. Helps with indigestion (dyspepsia). Some research shows that taking anise powder daily for 4 weeks reduces stomach discomfort, bloating, and pain following a meal in people who have indigestion after eating. Also reduces pain and bloating in people with IBS. May lower blood sugar, diabetics should use with caution."
Elderberry Flower Tea,"Elderflower tea has an antibacterial and antiviral properties. Flavonoids in elderberry flowers and berries may help in treating influenza, bronchitis and pain relief."
Linden Flower Tea,"Used for treating common cold, fever, cough and soothing anxiety symptoms. This tea has a thick texture because of the high mucilage content that may help soothe the throat."
Moringa,"a “superfood” that may offer many benefits. Studies suggest it may be especially helpful with heart diseases, diabetes, cancer and fatty liver."
Honeybush Tea,Used for treating cough and calming effects. Prelimenary studies show effects on improving insulin resistence and increasing good cholesterol (HDL). The antioxidant polyphenols have the potential to be anti-inflammatory and beneficial to heart health. Some research on polyphenols has shown its potential to increase good cholesterol (HDL) and improve the function of the inner lining of blood vessels and prevent blood clots.
Osmanthus Tea,Beautiful small yellow flowers of an osmanthus tree may boost the immune system and help fight allergies. Tea has a very delicate peach flavor that goes well with green and black tea.
Lapacho Tea,"Lapacho is widely used, especially in South America, and often in the form of a herbal tea, for a range of conditions, including infections (bacterial, fungal, protozoal and viral), for digestive disorders, and as an anti-inflammatory agent. It is applied externally for skin ulcerations and boils, eczema and psoriasis, and even skin cancer. It is reputed to strengthen the immune system and is a popular herbal medicine for treating all forms of cancer."
Jiaogulan Tea,Studies showed that jiaogulan tea may have a great potential in treating many cancers. It’s often described as a tea good for overall health.
Thyme Tea,"As tea, it may help with problems related to respiratory, nervous, and cardiovascular systems."
Marshmallow Root Tea,Marshmallow root tea is often used for treating dry cough and inflammation in throat and stomach.
St. John's Wort Tea,"St John’s wort is of the most used herbal remedies for treating depression, both mild and moderate. Studies showed that in some cases it may be as effective as standard medicine, but ineffective in others"
,
,
Pure tea,
green tea,"high in flavonoids that can help boost your heart health by lowering bad cholesterol and reducing blood clotting. Studies show this type of tea can also help lower blood pressure, triglycerides and total cholesterol. has a possible impact on liver, breast, prostate and colorectal cancers. Tea catechins are the major player in the biological activity of teas. The most biologically active of the catechins, EGCG, has been found to inhibit angiogenesis, causing nutritional deficiency in tumor cells.  This tea variety has also shown to be anti-inflammatory, which helps keep your skin clear and glowing. Polyphenols, or flavonoids, are likely a key component to what makes tea a healthful drink. These chemical compounds act as antioxidants, which control the damaging effects of free radicals in the body. Free radicals can alter DNA by stealing its electrons, and this mutated DNA can increase LDL cholesterol or alter cell membrane traffic—both harmful to our health. Though green tea is often believed to be richer in polyphenols than black or oolong (red) teas, studies show that—with the exception of decaffeinated tea—all plain teas have about the same levels of these chemicals, albeit in different proportions."
matcha,"the only form of tea in which the leaves are ingested, matcha contains even more antioxidants that regular green tea"
black tea *includes earl grey,"flavonoids that combat inflammation and support healthy immune function. However, you don’t have to merely drink black tea to benefit from its healthy properties. It can be steamed, cooled and then pressed on minor cuts, scrapes and bruises to relieve pain and reduce swelling. A black tea bath can also ease inflammation caused by skin rashes and conditions such as poison ivy.Polyphenols, or flavonoids, are likely a key component to what makes tea a healthful drink. These chemical compounds act as antioxidants, which control the damaging effects of free radicals in the body. Free radicals can alter DNA by stealing its electrons, and this mutated DNA can increase LDL cholesterol or alter cell membrane traffic—both harmful to our health. Though green tea is often believed to be richer in polyphenols than black or oolong (red) teas, studies show that—with the exception of decaffeinated tea—all plain teas have about the same levels of these chemicals, albeit in different proportions."
oolong,"partially oxidized. This partial oxidation is responsible for oolong tea's color and characteristic taste. Oolong tea is notable for containing l-theanine, an amino acid that reduces anxiety and increases alertness and attention. Scientists have found that l-theanine can help prevent cognitive diseases such as Parkinson’s and Alzheimer’s diseases. Oolong tea is also high in polyphenols, which are linked to lowering inflammation, preventing the growth of cancers and decreasing type 2 diabetes risk. Polyphenols, or flavonoids, are likely a key component to what makes tea a healthful drink. These chemical compounds act as antioxidants, which control the damaging effects of free radicals in the body. Free radicals can alter DNA by stealing its electrons, and this mutated DNA can increase LDL cholesterol or alter cell membrane traffic—both harmful to our health. Though green tea is often believed to be richer in polyphenols than black or oolong (red) teas, studies show that—with the exception of decaffeinated tea—all plain teas have about the same levels of these chemicals, albeit in different proportions."
pu-erh,"Made from fermented and aged leaves. Considered a black tea, its leaves are pressed into cakes. Animal studies show it may reduce weight gain and lower ""bad"" LDL cholesterol."
white tea,"The least processed leaves. Prevents various forms of cancer thanks to its high level of antioxidants. One study showed that white tea has the most potent anticancer properties compared to more processed teas. Polyphenols, or flavonoids, are likely a key component to what makes tea a healthful drink. These chemical compounds act as antioxidants, which control the damaging effects of free radicals in the body. Free radicals can alter DNA by stealing its electrons, and this mutated DNA can increase LDL cholesterol or alter cell membrane traffic—both harmful to our health. Though green tea is often believed to be richer in polyphenols than black or oolong (red) teas, studies show that—with the exception of decaffeinated tea—all plain teas have about the same levels of these chemicals, albeit in different proportions."
,
,
,
Precautions,
"The connection between GTE consumption and idiopathic hepatitis is hard to explain. It seems more likely that instead of toxic exposure, the condition may rather be a triggered reaction similar to other cases of idiopathic hepatitis. The paradox is that there is no hint in the literature that indicates whole GT causes liver toxicity. Therefore, adverse effects may be specifically related only to the extracts. Although the total risk is considered to be quite low, these extracts have to be taken with caution, and automedication is not always a good idea. Liver function has to be checked soon after beginning the treatment. As in the case of all medications, the risk-benefit calculation must be favorable. (Herbal Medicine: Biomolecular and Clinical Aspects by Serafini M. et al. 2nd edition.)",
"Future research on the health effects of tea in humans should focus on the biological significance of its in vivo catabolism...Most polyphenols present in tea, with probably the only exception of EGCG, undergo drastic modification as a result of reaction with human and microbial enzymes. The molecules generated by this interaction are concentrated in biological fluids and should be studied for their long-terms effects in human intervention studies. Moreover, gut microflora differ greatly among subjects, and this feature could mean different microbial catabolism and, consequently, different biological effects. Therefore, future intervention studies should consider the colonic microflora profile of each volunteer to check for possible interactions. The observed antioxidant effect of tea ingestion in vivo requires more evidence about the mechanism of action through which this effect is delivered. (Herbal Medicine: Biomolecular and Clinical Aspects by Serafini M. et al. 2nd edition.)",
"Possible mechanisms of antioxidant action such as induction of endogenous redox-controlled pathways or direct effect of polyphenols metabolites should be unraveled, providing clear-cut evidence in long-term intervention studies to isolate the molecules responsible for the effect. The experimental evidence in humans suggests a potential role for GT in modulating inflammatory response in vivo. However, the limited number of studies and the contrasting results obtained suggest a strong need for increasing the body of evidence in tailored human intervention studies before drawing final conclusions about the anti-inflammatory role of tea polyphenols. (Herbal Medicine: Biomolecular and Clinical Aspects by Serafini M. et al. 2nd edition.)",
"Some advertisements claim that tea can speed weight loss, but research on the effects of green tea and fat reduction have shown little promise of weight loss benefits. Moreover, it’s best to skip any so-called “weight loss” teas that may contain potentially harmful substances such as laxatives. (""Tea"", Harvard T.H. Chan School of Public Health)",
